Month Name,Meter Name,Amount,Monetary Cost,Environmental Cost
3/1/2018,Fuel Oil Deliveries,281.2,645.69,
3/1/2018,Fuel Oil Deliveries,170.8,392.19,
6/1/2018,Fuel Oil Deliveries,97.5,268.07,
6/1/2018,Fuel Oil Deliveries,70.7,194.38,
9/1/2018,Fuel Oil Deliveries,7505,17924.19,
10/1/2018,Fuel Oil Deliveries,141.7,370.02,
10/1/2018,Fuel Oil Deliveries,82.6,215.69,
10/1/2018,Fuel Oil Deliveries,193.4,505.03,
2/1/2019,Fuel Oil Deliveries,7506,15030.01,
2/1/2019,Fuel Oil Deliveries,7506,15264.2,
2/1/2019,Fuel Oil Deliveries,7505,15262.17,
2/1/2019,Fuel Oil Deliveries,7507,15266.24,
2/1/2019,Fuel Oil Deliveries,7396,15040.51,
2/1/2019,Fuel Oil Deliveries,7506,15149.36,
2/1/2019,Fuel Oil Deliveries,6491.7,13102.2,
2/1/2019,Fuel Oil Deliveries,7506,15149.36,
2/1/2019,Fuel Oil Deliveries,7508,14965.7,
2/1/2019,Fuel Oil Deliveries,7506,14961.71,
7/1/2009,NG1,11668.61,8588.98,
8/1/2009,NG1,45471.29,29419.21,
9/1/2009,NG1,6168.88,4032.89,
10/1/2009,NG1,1417.45,1451.43,
11/1/2009,NG1,22009.46,16960.58,
12/1/2009,NG1,29273.49,23099.12,
1/1/2010,NG1,45786.72,42721.07,
2/1/2010,NG1,52135.16,45379,
3/1/2010,NG1,1288.96,1527.82,
4/1/2010,NG1,5413.35,4276.2,
5/1/2010,NG1,35251.45,27073.8,
6/1/2010,NG1,17728.44,13655.86,
7/1/2010,NG1,58012.87,47529.31,
8/1/2010,NG1,64357,53281.8,
9/1/2010,NG1,29966.95,21283.82,
10/1/2010,NG1,40792.21,29649.99,
11/1/2010,NG1,1829.57,1720.98,
12/1/2010,NG1,53721.84,42305.83,
1/1/2011,NG1,92408.51,72318.89,
2/1/2011,NG1,49664.08,39662.11,
3/1/2011,NG1,14002.84,10708.99,
4/1/2011,NG1,10241.49,8073.43,
5/1/2011,NG1,65067.2,49619.82,
